Time [s],dont_use,lv_timer_handler,flush_cb,refr_invalid_areas
0.663298259,1,0,0,0
0.691525380,1,1,0,0
0.691548920,1,1,0,1
0.697748760,1,1,1,1
0.697751860,0,1,1,1
0.697761980,1,1,1,1
0.697763300,0,1,1,1
0.697778500,1,1,1,1
0.697779800,0,1,1,1
0.697789820,1,1,1,1
0.697791160,0,1,1,1
0.697806360,1,1,1,1
0.697807640,0,1,1,1
0.697817660,1,1,1,1
0.697822960,0,1,1,1
0.697829360,0,1,0,1
0.699519860,1,1,0,1
0.705352380,1,1,1,1
0.705355480,0,1,1,1
0.705365600,1,1,1,1
0.705366920,0,1,1,1
0.705382140,1,1,1,1
0.705383420,0,1,1,1
0.705393460,1,1,1,1
0.705394800,0,1,1,1
0.705410000,1,1,1,1
0.705411260,0,1,1,1
0.705421280,1,1,1,1
0.705426580,0,1,1,1
0.705433000,0,1,0,1
0.707121960,1,1,0,1
0.707977720,1,1,1,1
0.707980820,0,1,1,1
0.707990940,1,1,1,1
0.707992280,0,1,1,1
0.708007480,1,1,1,1
0.708008760,0,1,1,1
0.708018800,1,1,1,1
0.708020140,0,1,1,1
0.708035340,1,1,1,1
0.708036600,0,1,1,1
0.708046640,1,1,1,1
0.708051940,0,1,1,1
0.708058340,0,1,0,1
0.709747820,1,1,0,1
0.711664020,1,1,1,1
0.711667140,0,1,1,1
0.711677260,1,1,1,1
0.711678580,0,1,1,1
0.711693800,1,1,1,1
0.711695080,0,1,1,1
0.711705120,1,1,1,1
0.711706460,0,1,1,1
0.711721660,1,1,1,1
0.711722920,0,1,1,1
0.711732960,1,1,1,1
0.711738260,0,1,1,1
0.711744660,0,1,0,1
0.713434100,1,1,0,1
0.715975040,1,1,1,1
0.715978140,0,1,1,1
0.715988260,1,1,1,1
0.715989600,0,1,1,1
0.716004800,1,1,1,1
0.716006100,0,1,1,1
0.716016120,1,1,1,1
0.716017460,0,1,1,1
0.716032680,1,1,1,1
0.716033940,0,1,1,1
0.716043960,1,1,1,1
0.716049260,0,1,1,1
0.716055680,0,1,0,1
0.717744680,1,1,0,1
0.720239460,1,1,1,1
0.720242560,0,1,1,1
0.720252680,1,1,1,1
0.720254000,0,1,1,1
0.720269220,1,1,1,1
0.720270520,0,1,1,1
0.720280540,1,1,1,1
0.720281880,0,1,1,1
0.720297080,1,1,1,1
0.720298360,0,1,1,1
0.720308380,1,1,1,1
0.720313680,0,1,1,1
0.720320100,0,1,0,1
0.722009320,1,1,0,1
0.725094620,1,1,1,1
0.725097720,0,1,1,1
0.725107840,1,1,1,1
0.725109160,0,1,1,1
0.725124380,1,1,1,1
0.725125660,0,1,1,1
0.725135700,1,1,1,1
0.725137040,0,1,1,1
0.725152240,1,1,1,1
0.725153500,0,1,1,1
0.725163540,1,1,1,1
0.725168840,0,1,1,1
0.725175240,0,1,0,1
0.726864440,1,1,0,1
0.731387760,1,1,1,1
0.731390880,0,1,1,1
0.731401000,1,1,1,1
0.731402320,0,1,1,1
0.731417520,1,1,1,1
0.731418820,0,1,1,1
0.731428840,1,1,1,1
0.731430180,0,1,1,1
0.731445380,1,1,1,1
0.731446640,0,1,1,1
0.731456660,1,1,1,1
0.731463400,0,1,1,1
0.731469800,0,1,0,1
0.733159040,1,1,0,1
0.735300700,1,1,1,1
0.735303800,0,1,1,1
0.735313920,1,1,1,1
0.735315260,0,1,1,1
0.735330460,1,1,1,1
0.735331760,0,1,1,1
0.735341780,1,1,1,1
0.735343120,0,1,1,1
0.735358320,1,1,1,1
0.735359580,0,1,1,1
0.735369620,1,1,1,1
0.735374920,0,1,1,1
0.735381320,0,1,0,1
0.737070180,1,1,0,1
0.737865680,1,1,1,1
0.737868780,0,1,1,1
0.737878900,1,1,1,1
0.737880220,0,1,1,1
0.737895440,1,1,1,1
0.737896720,0,1,1,1
0.737906760,1,1,1,1
0.737908100,0,1,1,1
0.737923300,1,1,1,1
0.737924560,0,1,1,1
0.737934580,1,1,1,1
0.737939880,0,1,1,1
0.737946300,0,1,0,1
0.739634960,1,1,0,1
0.741915380,1,1,1,1
0.741918480,0,1,1,1
0.741928620,1,1,1,1
0.741929940,0,1,1,1
0.741945140,1,1,1,1
0.741946440,0,1,1,1
0.741956480,1,1,1,1
0.741957820,0,1,1,1
0.741973020,1,1,1,1
0.741974280,0,1,1,1
0.741984320,1,1,1,1
0.741989620,0,1,1,1
0.741996020,0,1,0,1
0.743685200,1,1,0,1
0.746164040,1,1,1,1
0.746167140,0,1,1,1
0.746177260,1,1,1,1
0.746178600,0,1,1,1
0.746193800,1,1,1,1
0.746195080,0,1,1,1
0.746205120,1,1,1,1
0.746206460,0,1,1,1
0.746221660,1,1,1,1
0.746222920,0,1,1,1
0.746232940,1,1,1,1
0.746238240,0,1,1,1
0.746244640,0,1,0,1
0.747933280,1,1,0,1
0.750330700,1,1,1,1
0.750333800,0,1,1,1
0.750343900,1,1,1,1
0.750345240,0,1,1,1
0.750360420,1,1,1,1
0.750361720,0,1,1,1
0.750371740,1,1,1,1
0.750373080,0,1,1,1
0.750388280,1,1,1,1
0.750389540,0,1,1,1
0.750399580,1,1,1,1
0.750404880,0,1,1,1
0.750411280,0,1,0,1
0.752100140,1,1,0,1
0.754479380,1,1,1,1
0.754482480,0,1,1,1
0.754492600,1,1,1,1
0.754493920,0,1,1,1
0.754509120,1,1,1,1
0.754510420,0,1,1,1
0.754520460,1,1,1,1
0.754521800,0,1,1,1
0.754537000,1,1,1,1
0.754538260,0,1,1,1
0.754548280,1,1,1,1
0.754553580,0,1,1,1
0.754560000,0,1,0,1
0.756249580,1,1,0,1
0.758907440,1,1,1,1
0.758910540,0,1,1,1
0.758920660,1,1,1,1
0.758921980,0,1,1,1
0.758937180,1,1,1,1
0.758938480,0,1,1,1
0.758948500,1,1,1,1
0.758949860,0,1,1,1
0.758965060,1,1,1,1
0.758966320,0,1,1,1
0.758976340,1,1,1,1
0.758981640,0,1,1,1
0.758988040,0,1,0,1
0.760676640,1,1,0,1
0.761428900,1,1,1,1
0.761432000,0,1,1,1
0.761442120,1,1,1,1
0.761443440,0,1,1,1
0.761458640,1,1,1,1
0.761459940,0,1,1,1
0.761469960,1,1,1,1
0.761471300,0,1,1,1
0.761486520,1,1,1,1
0.761487780,0,1,1,1
0.761497800,1,1,1,1
0.761503100,0,1,1,1
0.761509520,0,1,0,1
0.763199360,1,1,0,1
0.764616980,1,1,1,1
0.764620100,0,1,1,1
0.764630220,1,1,1,1
0.764631540,0,1,1,1
0.764646740,1,1,1,1
0.764648040,0,1,1,1
0.764658060,1,1,1,1
0.764659400,0,1,1,1
0.764674620,1,1,1,1
0.764675880,0,1,1,1
0.764685900,1,1,1,1
0.764691200,0,1,1,1
0.764697620,0,1,0,1
0.766387440,1,1,0,1
0.768869280,1,1,1,1
0.768872380,0,1,1,1
0.768882500,1,1,1,1
0.768883820,0,1,1,1
0.768899020,1,1,1,1
0.768900320,0,1,1,1
0.768910340,1,1,1,1
0.768911680,0,1,1,1
0.768926880,1,1,1,1
0.768928160,0,1,1,1
0.768938180,1,1,1,1
0.768943480,0,1,1,1
0.768949880,0,1,0,1
0.770638600,1,1,0,1
0.773150380,1,1,1,1
0.773153480,0,1,1,1
0.773163600,1,1,1,1
0.773164920,0,1,1,1
0.773180120,1,1,1,1
0.773181420,0,1,1,1
0.773191440,1,1,1,1
0.773192780,0,1,1,1
0.773207980,1,1,1,1
0.773209240,0,1,1,1
0.773219260,1,1,1,1
0.773224560,0,1,1,1
0.773230960,0,1,0,1
0.774919760,1,1,0,1
0.777538440,1,1,1,1
0.777541540,0,1,1,1
0.777551660,1,1,1,1
0.777552980,0,1,1,1
0.777568180,1,1,1,1
0.777569480,0,1,1,1
0.777579500,1,1,1,1
0.777580840,0,1,1,1
0.777596040,1,1,1,1
0.777597300,0,1,1,1
0.777607320,1,1,1,1
0.777612620,0,1,1,1
0.777619040,0,1,0,1
0.779308720,1,1,0,1
0.781719140,1,1,1,1
0.781722240,0,1,1,1
0.781732360,1,1,1,1
0.781733680,0,1,1,1
0.781748880,1,1,1,1
0.781750180,0,1,1,1
0.781760200,1,1,1,1
0.781761540,0,1,1,1
0.781776740,1,1,1,1
0.781778000,0,1,1,1
0.781788020,1,1,1,1
0.781793340,0,1,1,1
0.781799740,0,1,0,1
0.783488380,1,1,0,1
0.785387960,1,1,1,1
0.785391060,0,1,1,1
0.785401180,1,1,1,1
0.785402520,0,1,1,1
0.785417700,1,1,1,1
0.785419000,0,1,1,1
0.785429020,1,1,1,1
0.785430360,0,1,1,1
0.785445560,1,1,1,1
0.785446820,0,1,1,1
0.785456840,1,1,1,1
0.785462140,0,1,1,1
0.785468560,0,1,0,1
0.787158260,1,1,0,1
0.787661600,1,1,1,1
0.787664720,0,1,1,1
0.787674840,1,1,1,1
0.787676160,0,1,1,1
0.787691360,1,1,1,1
0.787692660,0,1,1,1
0.787702680,1,1,1,1
0.787704020,0,1,1,1
0.787719220,1,1,1,1
0.787720480,0,1,1,1
0.787730520,1,1,1,1
0.787735820,0,1,1,1
0.787742220,0,1,0,1
0.787786580,0,1,0,0
0.789192260,1,1,0,0
0.789240100,1,0,0,0
0.870812480,1,0,0,0
